wz08_code;description;period;turnover_yoy_pct;employment_yoy_pct;growth_gap_pct
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-01-01;4,6;-0,4;5,0
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-02-01;4,6;-0,2;4,8
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-03-01;3,7;-0,1;3,8
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-04-01;4,5;0,0;4,5
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-05-01;3,1;0,1;3,0
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-06-01;5,5;-0,2;5,7
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-07-01;4,0;-0,2;4,2
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-08-01;1,8;0,0;1,8
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-09-01;0,6;-0,1;0,7
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-10-01;2,0;-0,3;2,3
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-11-01;1,3;-0,5;1,8
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2025-12-01;3,2;-0,5;3,7
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-01-01;1,4;-1,1;2,5
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-02-01;1,1;-1,3;2,4
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-03-01;0,8;-1,6;2,4
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-04-01;-0,4;-1,8;1,4
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-05-01;2,1;-1,8;3,9
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-06-01;0,7;-1,8;2,5
WZ08-47;Retail trade, except motor vehicles a. motorcycles;2026-07-01;-2,4;-1,8;-0,6
WZ08-472;Retail sale of food, beverages and tobacco;2025-01-01;1,8;2,7;-0,9
WZ08-472;Retail sale of food, beverages and tobacco;2025-02-01;1,0;2,2;-1,2
WZ08-472;Retail sale of food, beverages and tobacco;2025-03-01;2,0;1,8;0,2
WZ08-472;Retail sale of food, beverages and tobacco;2025-04-01;1,7;2,2;-0,5
WZ08-472;Retail sale of food, beverages and tobacco;2025-05-01;0,7;1,5;-0,8
WZ08-472;Retail sale of food, beverages and tobacco;2025-06-01;1,2;0,8;0,4
WZ08-472;Retail sale of food, beverages and tobacco;2025-07-01;0,1;0,6;-0,5
WZ08-472;Retail sale of food, beverages and tobacco;2025-08-01;-2,2;0,3;-2,5
WZ08-472;Retail sale of food, beverages and tobacco;2025-09-01;-2,5;0,5;-3,0
WZ08-472;Retail sale of food, beverages and tobacco;2025-10-01;-0,3;0,1;-0,4
WZ08-472;Retail sale of food, beverages and tobacco;2025-11-01;-0,4;-0,3;-0,1
WZ08-472;Retail sale of food, beverages and tobacco;2025-12-01;0,7;-0,1;0,8
WZ08-472;Retail sale of food, beverages and tobacco;2026-01-01;-0,5;-1,3;0,8
WZ08-472;Retail sale of food, beverages and tobacco;2026-02-01;-1,0;-1,1;0,1
WZ08-472;Retail sale of food, beverages and tobacco;2026-03-01;-2,1;-1,7;-0,4
WZ08-472;Retail sale of food, beverages and tobacco;2026-04-01;-0,1;-1,5;1,4
WZ08-472;Retail sale of food, beverages and tobacco;2026-05-01;1,2;-1,5;2,7
WZ08-472;Retail sale of food, beverages and tobacco;2026-06-01;-0,7;-1,8;1,1
WZ08-472;Retail sale of food, beverages and tobacco;2026-07-01;0,2;-2,4;2,6
WZ08-4741;Retail sale of computers,peripheral units,software;2025-01-01;8,5;-1,2;9,7
WZ08-4741;Retail sale of computers,peripheral units,software;2025-02-01;13,6;-1,8;15,4
WZ08-4741;Retail sale of computers,peripheral units,software;2025-03-01;7,8;-0,6;8,4
WZ08-4741;Retail sale of computers,peripheral units,software;2025-04-01;6,9;-1,5;8,4
WZ08-4741;Retail sale of computers,peripheral units,software;2025-05-01;-0,4;-1,7;1,3
WZ08-4741;Retail sale of computers,peripheral units,software;2025-06-01;-0,3;0,0;-0,3
WZ08-4741;Retail sale of computers,peripheral units,software;2025-07-01;8,6;-0,6;9,2
WZ08-4741;Retail sale of computers,peripheral units,software;2025-08-01;6,9;0,0;6,9
WZ08-4741;Retail sale of computers,peripheral units,software;2025-09-01;7,5;-0,3;7,8
WZ08-4741;Retail sale of computers,peripheral units,software;2025-10-01;16,5;1,5;15,0
WZ08-4741;Retail sale of computers,peripheral units,software;2025-11-01;14,1;2,0;12,1
WZ08-4741;Retail sale of computers,peripheral units,software;2025-12-01;20,5;2,1;18,4
WZ08-4741;Retail sale of computers,peripheral units,software;2026-01-01;11,3;0,9;10,4
WZ08-4741;Retail sale of computers,peripheral units,software;2026-02-01;11,3;1,3;10,0
WZ08-4741;Retail sale of computers,peripheral units,software;2026-03-01;19,2;0,4;18,8
